sample_index,timestamp,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g
42,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
43,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
44,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
45,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
46,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
47,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
48,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
49,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
50,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
51,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
52,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
53,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
54,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
55,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
56,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
57,2026-05-14 23:08:10,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
58,2026-05-14 23:08:10,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
