epoch,mark,Measured Torque,Desired Torque,DPJMC Alpha,DPJMC Tau Des PF,Pressure Total,COP AP,COP ML,DPJMC State,DPJMC Fault Flags,Exoskeleton time (seconds)
1779334529.024158,0,0.000000,0.000000,0.000000,0.000000,204.270000,0.050000,-0.330000,0.000000,48.000000,25.260000
1779334529.027158,0,0.000000,0.000000,0.000000,0.000000,204.270000,0.050000,-0.330000,0.000000,48.000000,25.270000
1779334529.049672,0,0.000000,0.000000,0.000000,0.000000,204.270000,0.050000,-0.330000,0.000000,48.000000,25.280000
1779334529.057672,0,0.000000,0.000000,0.000000,0.000000,204.270000,0.050000,-0.330000,0.000000,48.000000,25.290000
1779334529.068172,0,0.000000,0.000000,0.000000,0.000000,203.640000,0.050000,-0.330000,0.000000,48.000000,25.290000
1779334529.071679,0,0.000000,0.000000,0.000000,0.000000,203.640000,0.050000,-0.330000,0.000000,48.000000,25.300000
1779334529.087061,0,0.000000,0.000000,0.000000,0.000000,203.640000,0.050000,-0.330000,0.000000,48.000000,25.310000
1779334529.094561,0,0.000000,0.000000,0.000000,0.000000,203.640000,0.050000,-0.330000,0.000000,48.000000,25.320000
1779334529.138978,0,0.000000,0.000000,0.000000,0.000000,203.640000,0.050000,-0.330000,0.000000,48.000000,25.350000
1779334529.139478,0,0.000000,0.000000,0.000000,0.000000,199.380000,0.050000,-0.330000,0.000000,48.000000,25.350000
1779334529.148479,0,0.000000,0.000000,0.000000,0.000000,199.380000,0.050000,-0.330000,0.000000,48.000000,25.370000
1779334529.154493,0,0.000000,0.000000,0.000000,0.000000,199.380000,0.050000,-0.330000,0.000000,48.000000,25.370000
1779334529.166493,0,0.000000,0.000000,0.000000,0.000000,199.380000,0.050000,-0.330000,0.000000,48.000000,25.380000
1779334529.182492,0,0.000000,0.000000,0.000000,0.000000,199.380000,0.050000,-0.330000,0.000000,48.000000,25.400000
1779334529.191992,0,0.000000,0.000000,0.000000,0.000000,200.110000,0.050000,-0.330000,0.000000,48.000000,25.420000
1779334529.192993,0,0.000000,0.000000,0.000000,0.000000,200.110000,0.050000,-0.330000,0.000000,48.000000,25.430000
1779334529.193492,0,0.000000,0.000000,0.000000,0.000000,200.110000,0.050000,-0.330000,0.000000,48.000000,25.440000
1779334529.199493,0,0.000000,0.000000,0.000000,0.000000,200.110000,0.050000,-0.330000,0.000000,48.000000,25.450000
1779334529.250221,0,0.000000,0.000000,0.000000,0.000000,193.580000,0.050000,-0.330000,0.000000,48.000000,25.450000
1779334529.259721,0,0.000000,0.000000,0.000000,0.000000,193.580000,0.050000,-0.330000,0.000000,48.000000,25.460000
1779334529.260721,0,0.000000,0.000000,0.000000,0.000000,193.580000,0.050000,-0.330000,0.000000,48.000000,25.470000
1779334529.261221,0,0.000000,0.000000,0.000000,0.000000,193.580000,0.050000,-0.330000,0.000000,48.000000,25.480000
1779334529.267374,0,0.000000,0.000000,0.000000,0.000000,193.580000,0.050000,-0.330000,0.000000,48.000000,25.500000
